country,datetrack,currencyID,dolarToLocal,localToDolar,Site
AR,20191210,ARS,70.22,0.0142,MLA
BO,20191210,BOB,6.96,0.1437,MBO
BR,20191210,BRL,5.4629,0.1831,MLB
CL,20191210,CLP,813.25,0.0012,MLC
CO,20191210,COP,3735.93,0.0003,MCO
CR,20191210,CRC,578.83,0.0017,MCR
CU,20191210,CUC,1200,0.0008,MCU
DO,20191210,DOP,58.2411,0.0172,MRD
EC,20191210,USD,1,1,MEC
GT,20191210,GTQ,7.7002,0.1299,MGT
HN,20191210,HNL,24.7135,0.0405,MHN
MX,20191210,MXN,22.9715,0.0435,MLM
NI,20191210,NIO,34.328,0.0291,MNI
PA,20191210,USD,1,1,MPA
PE,20191210,PEN,3.53,0.2833,MPE
PY,20191210,PYG,6781.11,0.0001,MPY
SV,20191210,USD,1,1,MSV
UY,20191210,UYU,42.75,0.0234,MLU
